"STATION","DATE","CLDD","HTDD","TAVG","TMAX","TMIN"
"USW00093738","1991-05-24",,,,"86","64"
"USW00093738","1991-05-25",,,,"92","66"
"USW00093738","1991-05-26",,,,"90","70"
"USW00093738","1991-05-27",,,,"90","69"
"USW00093738","1991-05-28",,,,"90","70"
"USW00093738","1991-05-29",,,,"95","67"
"USW00093738","1991-05-30",,,,"95","66"
"USW00093738","1991-05-31",,,,"94","71"
"USW00093738","1991-06-01",,,,"90","68"
"USW00093738","1991-06-02",,,,"87","67"
"USW00093738","1991-06-03",,,,"80","67"
"USW00093738","1991-06-04",,,,"78","61"
"USW00093738","1991-06-05",,,,"74","52"
"USW00093738","1991-06-06",,,,"74","50"
"USW00093738","1991-06-07",,,,"78","48"
"USW00093738","1991-06-08",,,,"82","48"
"USW00093738","1991-06-09",,,,"87","53"
"USW00093738","1991-06-10",,,,"89","58"
"USW00093738","1991-06-11",,,,"91","62"
"USW00093738","1991-06-12",,,,"87","67"
"USW00093738","1991-06-13",,,,"83","53"
"USW00093738","1991-06-14",,,,"86","47"
"USW00093738","1991-06-15",,,,"95","57"
"USW00093738","1991-06-16",,,,"96","71"
"USW00093738","1991-06-17",,,,"91","68"
"USW00093738","1991-06-18",,,,"75","64"
"USW00093738","1991-06-19",,,,"77","63"
"USW00093738","1991-06-20",,,,"87","61"
"USW00093738","1991-06-21",,,,"93","63"
"USW00093738","1991-06-22",,,,"80","69"
"USW00093738","1991-06-23",,,,"69","59"
"USW00093738","1991-06-24",,,,"80","53"
"USW00093738","1991-06-25",,,,"81","54"
"USW00093738","1991-06-26",,,,"82","51"
"USW00093738","1991-06-27",,,,"86","56"
"USW00093738","1991-06-28",,,,"95","62"
"USW00093738","1991-06-29",,,,"95","68"
"USW00093738","1991-06-30",,,,"96","73"
"USW00093738","1991-07-01",,,,"80","72"
"USW00093738","1991-07-02",,,,"92","70"
"USW00093738","1991-07-03",,,,"88","69"
"USW00093738","1991-07-04",,,,"77","71"
"USW00093738","1991-07-05",,,,"83","68"
"USW00093738","1991-07-06",,,,"93","63"
"USW00093738","1991-07-07",,,,"96","69"
"USW00093738","1991-07-08",,,,"92","69"
"USW00093738","1991-07-09",,,,"85","70"
"USW00093738","1991-07-10",,,,"79","66"
"USW00093738","1991-07-11",,,,"89","62"
"USW00093738","1991-07-12",,,,"86","59"
"USW00093738","1991-07-13",,,,"93","70"
"USW00093738","1991-07-14",,,,"87","64"
"USW00093738","1991-07-15",,,,"88","59"
"USW00093738","1991-07-16",,,,"92","57"
"USW00093738","1991-07-17",,,,"93","65"
"USW00093738","1991-07-18",,,,"96","67"
"USW00093738","1991-07-19",,,,"95","75"
"USW00093738","1991-07-20",,,,"97","70"
"USW00093738","1991-07-21",,,,"101","71"
"USW00093738","1991-07-22",,,,"94","72"
"USW00093738","1991-07-23",,,,"99","71"
"USW00093738","1991-07-24",,,,"91","71"
"USW00093738","1991-07-25",,,,"88","73"
"USW00093738","1991-07-26",,,,"91","69"
"USW00093738","1991-07-27",,,,"81","62"
"USW00093738","1991-07-28",,,,"87","59"
"USW00093738","1991-07-29",,,,"73","65"
"USW00093738","1991-07-30",,,,"76","67"
"USW00093738","1991-07-31",,,,"88","64"
"USW00093738","1991-08-01",,,,"91","59"
"USW00093738","1991-08-02",,,,"96","67"
"USW00093738","1991-08-03",,,,"99","71"
"USW00093738","1991-08-04",,,,"91","70"
"USW00093738","1991-08-05",,,,"88","60"
"USW00093738","1991-08-06",,,,"88","58"
"USW00093738","1991-08-07",,,,"81","67"
"USW00093738","1991-08-08",,,,"89","65"
"USW00093738","1991-08-09",,,,"86","69"
"USW00093738","1991-08-10",,,,"88","64"
"USW00093738","1991-08-11",,,,"90","59"
"USW00093738","1991-08-12",,,,"89","58"
"USW00093738","1991-08-13",,,,"91","58"
"USW00093738","1991-08-14",,,,"84","66"
"USW00093738","1991-08-15",,,,"89","63"
"USW00093738","1991-08-16",,,,"94","58"
"USW00093738","1991-08-17",,,,"92","64"
"USW00093738","1991-08-18",,,,"95","68"
"USW00093738","1991-08-19",,,,"92","69"
"USW00093738","1991-08-20",,,,"86","64"
"USW00093738","1991-08-21",,,,"85","58"
"USW00093738","1991-08-22",,,,"86","54"
"USW00093738","1991-08-23",,,,"92","57"
"USW00093738","1991-08-24",,,,"91","62"
